RegID,CatID,Cat,Grade,SeriesRank,Pct_Series,SeriesPoints,Rank_1,Final_1,CatID_1,Rank_2,Final_2,CatID_2,Rank_3,Final_3,CatID_3,Rank_4,Final_4,CatID_4,Rank_5,Final_5,CatID_5,Rank_6,Final_6,CatID_6
100393737,202,Junior Varsity 11-12th Grade Male,10.0,40,,919,38.0,4793.37,201.0,,,,,,,15.0,3528.3,201.0,-1.0,,201.0,3.0,3504.35,202.0
100393751,101,Varsity Male,10.0,41,,681,1.0,3134.8,201.0,,,,36.0,7234.51,101.0,,,,,,,,,
100393756,202,Junior Varsity 11-12th Grade Male,11.0,37,,1011,3.0,3348.25,202.0,10.0,3207.34,202.0,,,,,,,,,,15.0,3772.48,202.0
100393759,101,Varsity Male,11.0,2,,2323,2.0,4389.38,101.0,3.0,4072.25,101.0,,,,3.0,4562.45,101.0,2.0,4339.72,101.0,2.0,4655.0,101.0
100393764,202,Junior Varsity 11-12th Grade Male,11.0,25,,1340,11.0,3531.61,202.0,14.0,3283.58,202.0,,,,4.0,3457.24,202.0,8.0,3455.99,202.0,-1.0,,202.0
100393767,101,Varsity Male,11.0,4,,2246,5.0,4532.99,101.0,2.0,4070.38,101.0,3.0,4809.63,101.0,4.0,4573.42,101.0,,,,5.0,4788.05,101.0
100393773,101,Varsity Male,11.0,16,,1827,18.0,4852.69,101.0,22.0,4693.22,101.0,15.0,5408.12,101.0,12.0,4879.78,101.0,19.0,4987.97,101.0,15.0,5168.69,101.0
100393774,101,Varsity Male,11.0,11,,1978,12.0,4799.93,101.0,13.0,4456.45,101.0,8.0,5031.75,101.0,,,,8.0,4603.35,101.0,10.0,5014.58,101.0
100393834,101,Varsity Male,12.0,30,,1604,29.0,5231.59,101.0,33.0,5168.12,101.0,26.0,5839.45,101.0,29.0,5290.42,101.0,24.0,5191.71,101.0,26.0,5471.01,101.0
100393836,101,Varsity Male,12.0,25,,1700,20.0,4899.94,101.0,23.0,4704.0,101.0,-1.0,1770.83,101.0,19.0,5026.65,101.0,23.0,5187.99,101.0,25.0,5470.97,101.0
100393840,202,Junior Varsity 11-12th Grade Male,12.0,15,,1517,22.0,3701.65,202.0,31.0,3600.7,202.0,9.0,3787.91,202.0,7.0,3472.9,202.0,40.0,4266.9,202.0,17.0,3826.39,202.0
100393844,202,Junior Varsity 11-12th Grade Male,12.0,47,,509,,,,37.0,3694.64,202.0,,,,,,,26.0,3801.82,202.0,,,
100393847,101,Varsity Male,12.0,5,,2206,8.0,4651.63,101.0,7.0,4254.37,101.0,4.0,4870.82,101.0,5.0,4710.46,101.0,4.0,4512.92,101.0,3.0,4761.73,101.0
100393848,101,Varsity Male,12.0,43,,288,,,,,,,,,,,,,,,,35.0,6072.65,101.0
100393849,101,Varsity Male,12.0,23,,1732,17.0,4847.93,101.0,24.0,4705.03,101.0,17.0,5414.0,101.0,21.0,5042.19,101.0,,,,23.0,5470.85,101.0
100393851,101,Varsity Male,12.0,14,,1856,21.0,5003.11,101.0,15.0,4469.16,101.0,21.0,5602.35,101.0,16.0,5010.66,101.0,10.0,4777.19,101.0,12.0,5131.51,101.0
100393852,101,Varsity Male,12.0,27,,1640,27.0,5091.64,101.0,29.0,4913.05,101.0,25.0,5663.85,101.0,24.0,5122.82,101.0,25.0,5196.61,101.0,24.0,5470.88,101.0
100393855,202,Junior Varsity 11-12th Grade Male,12.0,14,,1517,12.0,3532.31,202.0,20.0,3391.89,202.0,,,,12.0,3551.7,202.0,23.0,3766.57,202.0,12.0,3690.56,202.0
100393857,202,Junior Varsity 11-12th Grade Male,12.0,4,,1817,7.0,3445.73,202.0,15.0,3295.63,202.0,5.0,3766.89,202.0,5.0,3457.29,202.0,5.0,3394.47,202.0,2.0,3504.23,202.0
100393862,202,Junior Varsity 11-12th Grade Male,12.0,8,,1688,5.0,3423.77,202.0,4.0,3151.13,202.0,15.0,3987.28,202.0,16.0,3582.94,202.0,14.0,3590.83,202.0,7.0,3606.16,202.0
100393868,101,Varsity Male,12.0,10,,2006,11.0,4712.03,101.0,12.0,4456.31,101.0,13.0,5321.63,101.0,6.0,4751.18,101.0,11.0,4778.62,101.0,7.0,4887.5,101.0
100393872,101,Varsity Male,12.0,42,,448,4.0,4485.74,101.0,,,,,,,-1.0,1550.99,101.0,,,,,,
100393875,101,Varsity Male,12.0,19,,1772,28.0,5203.44,101.0,16.0,4472.39,101.0,,,,14.0,4900.67,101.0,13.0,4912.0,101.0,21.0,5282.08,101.0
100393888,202,Junior Varsity 11-12th Grade Male,12.0,51,,458,,,,43.0,3862.06,202.0,,,,,,,,,,37.0,4484.17,202.0
100393951,102,Varsity Female,12.0,6,,2101,6.0,5560.53,102.0,5.0,5106.48,102.0,8.0,6336.93,102.0,10.0,5789.01,102.0,9.0,5849.96,102.0,6.0,5742.85,102.0
100393967,704,Elementary 4th Grade Female,4.0,20,,184,,,,15.0,3057.19,704.0,,,,,,,,,,,,
100393968,704,Elementary 4th Grade Female,4.0,4,,1115,3.0,2518.85,704.0,5.0,1974.92,704.0,3.0,2698.92,704.0,3.0,2383.32,704.0,5.0,2234.37,704.0,2.0,2058.77,704.0
100393970,704,Elementary 4th Grade Female,4.0,6,,1047,5.0,2572.19,704.0,6.0,2113.01,704.0,7.0,2885.93,704.0,6.0,2441.62,704.0,6.0,2334.17,704.0,7.0,2295.31,704.0
100393973,704,Elementary 4th Grade Female,4.0,10,,982,,,,9.0,2183.7,704.0,10.0,3253.1,704.0,10.0,2814.57,704.0,11.0,2666.78,704.0,11.0,2574.74,704.0
100393976,702,Elementary 5th Grade Female,5.0,12,,800,6.0,2741.52,702.0,,,,9.0,3161.06,702.0,,,,9.0,2595.49,702.0,12.0,2412.09,702.0
100393984,602,Advanced Elementary Female,5.0,1,,1400,1.0,3502.65,602.0,1.0,2772.61,602.0,2.0,3870.6,602.0,1.0,3149.89,602.0,1.0,3106.53,602.0,1.0,2929.52,602.0
100393989,702,Elementary 5th Grade Female,5.0,7,,1029,8.0,2786.92,702.0,11.0,2241.6,702.0,5.0,2898.59,702.0,8.0,2582.86,702.0,8.0,2516.55,702.0,7.0,2286.0,702.0
100393990,702,Elementary 5th Grade Female,5.0,6,,1030,7.0,2786.12,702.0,8.0,2171.59,702.0,10.0,3234.4,702.0,7.0,2540.72,702.0,7.0,2462.5,702.0,6.0,2271.82,702.0
100393991,702,Elementary 5th Grade Female,5.0,1,,1165,1.0,2462.49,702.0,1.0,1899.15,702.0,3.0,2775.17,702.0,2.0,2360.31,702.0,1.0,2085.57,702.0,1.0,2077.23,702.0
100393995,702,Elementary 5th Grade Female,5.0,2,,1145,2.0,2506.71,702.0,3.0,1963.72,702.0,2.0,2635.0,702.0,1.0,2222.37,702.0,2.0,2168.03,702.0,3.0,2174.41,702.0
100393996,702,Elementary 5th Grade Female,5.0,14,,611,,,,5.0,2058.91,702.0,,,,9.0,2644.53,702.0,,,,10.0,2391.09,702.0
100393998,702,Elementary 5th Grade Female,5.0,16,,560,14.0,3198.45,702.0,14.0,2365.38,702.0,,,,,,,,,,13.0,2717.99,702.0
100394004,602,Advanced Elementary Female,5.0,6,,1037,4.0,4031.96,602.0,4.0,3282.25,602.0,4.0,4453.35,602.0,-1.0,1258.69,602.0,,,,6.0,3328.32,602.0
100394008,402,Novice 6-8th Grade Female,6.0,31,,425,18.0,4091.52,402.0,-1.0,877.62,402.0,,,,,,,,,,18.0,3169.35,402.0
100394009,402,Novice 6-8th Grade Female,6.0,18,,1082,13.0,3806.39,402.0,15.0,2898.73,402.0,19.0,4500.92,402.0,13.0,3456.01,402.0,19.0,3439.17,402.0,19.0,3170.74,402.0
100394014,104,Advanced Middle School Female,6.0,7,,1465,8.0,4167.24,104.0,8.0,3986.3,104.0,8.0,5290.27,104.0,7.0,4341.13,104.0,7.0,4545.72,104.0,7.0,4658.61,104.0
100394016,402,Novice 6-8th Grade Female,6.0,23,,1000,26.0,4895.74,402.0,23.0,3362.54,402.0,,,,23.0,4353.63,402.0,22.0,3749.0,402.0,26.0,3986.36,402.0
100394028,402,Novice 6-8th Grade Female,6.0,20,,1020,19.0,4181.27,402.0,22.0,3261.97,402.0,,,,21.0,4038.06,402.0,23.0,3824.61,402.0,25.0,3710.58,402.0
100394033,703,Elementary 4th Grade Male,4.0,8,,1023,9.0,2529.04,703.0,8.0,1956.39,703.0,8.0,2685.69,703.0,5.0,2279.25,703.0,8.0,2158.85,703.0,12.0,2171.84,703.0
100394035,703,Elementary 4th Grade Male,4.0,20,,711,-1.0,1442.34,703.0,16.0,2195.39,703.0,14.0,2995.2,703.0,-1.0,1659.79,703.0,24.0,2667.55,703.0,19.0,2436.8,703.0
100394036,703,Elementary 4th Grade Male,4.0,9,,1003,6.0,2455.72,703.0,13.0,2137.4,703.0,10.0,2765.85,703.0,7.0,2334.58,703.0,11.0,2264.08,703.0,10.0,2136.21,703.0
100394039,801,Elementary 2nd-3rd Grade Male,3.0,1,,985,1.0,1102.93,801.0,1.0,884.07,801.0,1.0,1179.38,801.0,2.0,1071.76,801.0,1.0,1008.77,801.0,1.0,1011.39,801.0
100394041,703,Elementary 4th Grade Male,4.0,11,,944,11.0,2658.56,703.0,12.0,2112.26,703.0,13.0,2959.76,703.0,12.0,2561.02,703.0,18.0,2441.91,703.0,17.0,2352.03,703.0
100394042,703,Elementary 4th Grade Male,4.0,5,,1072,3.0,2416.98,703.0,3.0,1866.86,703.0,6.0,2615.19,703.0,8.0,2352.4,703.0,7.0,2154.16,703.0,6.0,2075.27,703.0
100394045,703,Elementary 4th Grade Male,4.0,36,,1,,,,,,,,,,,,,,,,-1.0,4419.65,703.0
100394049,703,Elementary 4th Grade Male,4.0,28,,506,,,,20.0,2280.12,703.0,,,,22.0,3006.27,703.0,26.0,2812.25,703.0,,,
100394051,701,Elementary 5th Grade Male,5.0,14,,888,,,,19.0,2215.37,701.0,16.0,3398.41,701.0,19.0,2644.14,701.0,18.0,2481.34,701.0,19.0,2400.41,701.0
100394065,701,Elementary 5th Grade Male,5.0,22,,536,,,,18.0,2197.01,701.0,,,,16.0,2591.54,701.0,19.0,2522.62,701.0,,,
100394072,601,Advanced Elementary Male,5.0,6,,1256,5.0,3620.53,601.0,6.0,3072.08,601.0,,,,6.0,3724.15,601.0,6.0,3345.17,601.0,6.0,3160.53,601.0
100394076,701,Elementary 5th Grade Male,5.0,9,,982,10.0,2670.88,701.0,10.0,2009.7,701.0,10.0,2851.17,701.0,8.0,2367.4,701.0,,,,13.0,2232.36,701.0
100394082,601,Advanced Elementary Male,5.0,2,,1376,2.0,3373.05,601.0,2.0,2697.98,601.0,1.0,3671.42,601.0,3.0,3259.74,601.0,2.0,3027.12,601.0,2.0,2782.16,601.0
100394083,701,Elementary 5th Grade Male,5.0,23,,412,,,,,,,,,,,,,6.0,2138.02,701.0,8.0,2139.57,701.0
100394084,701,Elementary 5th Grade Male,5.0,6,,1029,8.0,2512.95,701.0,5.0,1831.01,701.0,6.0,2648.28,701.0,7.0,2323.97,701.0,10.0,2293.86,701.0,12.0,2231.96,701.0
100394088,601,Advanced Elementary Male,5.0,1,,1388,1.0,3366.18,601.0,1.0,2697.82,601.0,2.0,3677.37,601.0,2.0,3107.32,601.0,3.0,3031.81,601.0,1.0,2781.06,601.0
100394094,701,Elementary 5th Grade Male,5.0,1,,1170,1.0,2143.7,701.0,1.0,1722.32,701.0,1.0,2323.36,701.0,1.0,2087.52,701.0,1.0,1967.72,701.0,1.0,1928.87,701.0
100394101,701,Elementary 5th Grade Male,5.0,7,,1003,9.0,2559.46,701.0,11.0,2100.71,701.0,12.0,2902.15,701.0,9.0,2374.59,701.0,8.0,2288.84,701.0,7.0,2139.47,701.0
100394103,701,Elementary 5th Grade Male,5.0,16,,783,,,,8.0,1930.34,701.0,,,,17.0,2595.46,701.0,9.0,2293.32,701.0,9.0,2170.98,701.0
100394107,701,Elementary 5th Grade Male,5.0,5,,1105,3.0,2366.47,701.0,4.0,1830.68,701.0,7.0,2649.5,701.0,3.0,2214.53,701.0,3.0,2023.59,701.0,5.0,1980.66,701.0
100394108,503,Novice 6th Grade Male,6.0,8,,1198,11.0,3677.34,503.0,12.0,2765.15,503.0,8.0,3710.21,503.0,8.0,3118.93,503.0,8.0,2985.12,503.0,8.0,2912.34,503.0
100394113,103,Advanced Middle School Male,6.0,19,,1226,22.0,4528.59,103.0,22.0,4748.37,103.0,22.0,5620.36,103.0,18.0,4504.76,103.0,18.0,4658.55,103.0,18.0,4948.57,103.0
100394115,503,Novice 6th Grade Male,6.0,6,,1270,5.0,3439.74,503.0,7.0,2637.29,503.0,,,,6.0,3088.13,503.0,6.0,2941.79,503.0,3.0,2790.53,503.0
100394118,503,Novice 6th Grade Male,6.0,17,,1054,19.0,4171.16,503.0,20.0,3142.26,503.0,19.0,4639.18,503.0,19.0,3597.29,503.0,18.0,3619.01,503.0,18.0,3332.82,503.0
100394125,503,Novice 6th Grade Male,6.0,19,,1022,27.0,5174.43,503.0,23.0,3345.99,503.0,20.0,5044.92,503.0,24.0,4033.82,503.0,22.0,3811.44,503.0,20.0,3448.96,503.0
100394128,503,Novice 6th Grade Male,6.0,25,,858,,,,18.0,3007.07,503.0,,,,17.0,3550.11,503.0,15.0,3361.61,503.0,17.0,3259.32,503.0
100394129,703,Elementary 4th Grade Male,4.0,6,,1070,4.0,2425.81,703.0,7.0,1930.63,703.0,4.0,2562.85,703.0,6.0,2292.54,703.0,6.0,2108.94,703.0,5.0,2022.11,703.0
100394130,103,Advanced Middle School Male,6.0,16,,1280,19.0,3772.94,103.0,17.0,3575.83,103.0,18.0,4290.08,103.0,14.0,3796.88,103.0,16.0,3839.29,103.0,15.0,4081.78,103.0
100394131,503,Novice 6th Grade Male,6.0,2,,1364,2.0,3395.49,503.0,5.0,2603.87,503.0,2.0,3547.64,503.0,2.0,2990.14,503.0,3.0,2905.22,503.0,2.0,2772.74,503.0
100394132,503,Novice 6th Grade Male,6.0,1,,1400,1.0,3301.06,503.0,1.0,2533.6,503.0,1.0,3519.56,503.0,1.0,2934.82,503.0,2.0,2854.94,503.0,1.0,2766.16,503.0
100394133,503,Novice 6th Grade Male,6.0,9,,1198,,,,9.0,2693.57,503.0,4.0,3564.89,503.0,10.0,3138.1,503.0,9.0,3022.25,503.0,12.0,2979.75,503.0
100394136,503,Novice 6th Grade Male,6.0,4,,1322,4.0,3439.29,503.0,3.0,2593.42,503.0,5.0,3608.63,503.0,3.0,2991.42,503.0,4.0,2915.89,503.0,4.0,2791.31,503.0
100394147,704,Elementary 4th Grade Female,4.0,12,,940,14.0,3929.54,704.0,16.0,3113.07,704.0,14.0,3968.77,704.0,12.0,3416.94,704.0,14.0,2953.74,704.0,12.0,2834.74,704.0
100394148,503,Novice 6th Grade Male,6.0,18,,1048,18.0,4108.7,503.0,21.0,3155.83,503.0,18.0,4380.02,503.0,21.0,3850.84,503.0,20.0,3650.04,503.0,19.0,3382.58,503.0
100394157,503,Novice 6th Grade Male,6.0,36,,398,28.0,5179.75,503.0,,,,21.0,5697.31,503.0,,,,,,,,,
100394163,503,Novice 6th Grade Male,6.0,16,,1064,17.0,4104.46,503.0,16.0,2799.55,503.0,13.0,4055.65,503.0,18.0,3568.29,503.0,-1.0,1588.18,503.0,24.0,3701.43,503.0
100394167,801,Elementary 2nd-3rd Grade Male,3.0,62,,129,,,,,,,,,,40.0,1677.74,801.0,,,,,,
100394169,801,Elementary 2nd-3rd Grade Male,3.0,2,,969,2.0,1103.79,801.0,5.0,892.84,801.0,2.0,1186.9,801.0,1.0,1046.91,801.0,2.0,1010.79,801.0,2.0,1012.47,801.0
100394170,801,Elementary 2nd-3rd Grade Male,3.0,7,,882,7.0,1203.64,801.0,6.0,941.92,801.0,9.0,1345.44,801.0,8.0,1132.33,801.0,3.0,1035.73,801.0,8.0,1056.49,801.0
100394171,801,Elementary 2nd-3rd Grade Male,3.0,27,,717,22.0,1454.6,801.0,31.0,1204.49,801.0,23.0,1590.64,801.0,22.0,1313.86,801.0,30.0,1317.38,801.0,37.0,1361.58,801.0
100394172,801,Elementary 2nd-3rd Grade Male,3.0,5,,913,5.0,1141.72,801.0,3.0,892.23,801.0,-1.0,,801.0,6.0,1096.18,801.0,5.0,1038.77,801.0,4.0,1021.56,801.0
100394292,401,Novice 9-12th Grade Female,9.0,1,,1584,1.0,3661.34,401.0,4.0,3036.11,401.0,2.0,4131.34,401.0,4.0,3654.31,401.0,3.0,3280.81,401.0,3.0,3187.4,401.0
100394296,102,Varsity Female,9.0,5,,2257,4.0,5327.18,102.0,4.0,4920.33,102.0,4.0,5911.39,102.0,2.0,5384.75,102.0,4.0,5285.95,102.0,15.0,6543.56,102.0
100394302,203,Junior Varsity Female,9.0,4,,1859,3.0,3780.53,203.0,7.0,3663.96,203.0,6.0,4323.55,203.0,5.0,3808.76,203.0,4.0,3751.12,203.0,1.0,3822.84,203.0
100394307,203,Junior Varsity Female,9.0,5,,1832,6.0,3844.3,203.0,4.0,3522.26,203.0,3.0,4278.24,203.0,6.0,3846.59,203.0,5.0,3802.91,203.0,4.0,3940.44,203.0
100394312,102,Varsity Female,9.0,7,,2097,9.0,5685.67,102.0,6.0,5109.59,102.0,6.0,6055.79,102.0,8.0,5682.83,102.0,7.0,5566.87,102.0,7.0,5812.04,102.0
100394314,102,Varsity Female,9.0,12,,1950,14.0,5987.88,102.0,12.0,5429.8,102.0,10.0,6451.1,102.0,11.0,5805.37,102.0,11.0,5945.98,102.0,11.0,6058.58,102.0
100394315,102,Varsity Female,9.0,17,,1828,16.0,6619.17,102.0,16.0,5986.97,102.0,16.0,7723.96,102.0,15.0,6659.83,102.0,15.0,6807.57,102.0,,,
100394321,401,Novice 9-12th Grade Female,10.0,4,,1514,3.0,4067.32,401.0,6.0,3235.54,401.0,4.0,4221.81,401.0,5.0,3807.18,401.0,6.0,3457.44,401.0,5.0,3205.07,401.0
100394340,102,Varsity Female,11.0,16,,1844,17.0,6709.29,102.0,15.0,5984.98,102.0,15.0,7280.2,102.0,14.0,6200.91,102.0,14.0,6336.13,102.0,16.0,6563.98,102.0
100394344,203,Junior Varsity Female,10.0,10,,1664,11.0,4052.55,203.0,16.0,4044.41,203.0,9.0,4587.23,203.0,7.0,3908.28,203.0,8.0,3941.6,203.0,11.0,4241.95,203.0
100394345,401,Novice 9-12th Grade Female,11.0,7,,849,,,,7.0,3254.69,401.0,,,,,,,10.0,3796.19,401.0,7.0,3531.04,401.0
100394354,203,Junior Varsity Female,11.0,23,,611,,,,,,,,,,,,,16.0,4779.72,203.0,13.0,4453.2,203.0
100394357,102,Varsity Female,11.0,1,,2400,1.0,4887.01,102.0,,,,1.0,5448.27,102.0,1.0,5022.44,102.0,1.0,4983.99,102.0,1.0,5248.31,102.0
100394358,201,Junior Varsity 9-10th Grade Male,9.0,24,,1406,31.0,3822.85,201.0,21.0,3316.53,201.0,22.0,4017.69,201.0,29.0,3738.7,201.0,21.0,3640.14,201.0,20.0,3826.4,201.0
100394361,302,Novice 9th Grade Male,9.0,4,,1474,6.0,3732.26,302.0,6.0,2761.54,302.0,7.0,4000.53,302.0,6.0,3412.07,302.0,10.0,3399.48,302.0,4.0,3076.7,302.0
100394365,201,Junior Varsity 9-10th Grade Male,9.0,28,,1337,29.0,3763.62,201.0,24.0,3373.6,201.0,24.0,4049.54,201.0,26.0,3690.84,201.0,37.0,6062.61,201.0,33.0,4582.15,201.0
100394369,201,Junior Varsity 9-10th Grade Male,9.0,34,,1280,30.0,3765.17,201.0,34.0,3561.46,201.0,28.0,4391.06,201.0,37.0,4170.71,201.0,29.0,3962.91,201.0,34.0,4716.43,201.0
100394381,201,Junior Varsity 9-10th Grade Male,9.0,1,,1931,5.0,3178.84,201.0,1.0,2965.59,201.0,5.0,3539.03,201.0,1.0,3151.24,201.0,1.0,3107.77,201.0,3.0,3288.64,201.0
100394386,201,Junior Varsity 9-10th Grade Male,9.0,17,,1553,16.0,3496.87,201.0,13.0,3126.19,201.0,,,,19.0,3580.56,201.0,11.0,3392.75,201.0,10.0,3553.02,201.0
100394388,302,Novice 9th Grade Male,9.0,7,,1380,9.0,4154.41,302.0,9.0,3091.41,302.0,10.0,4426.92,302.0,12.0,3834.96,302.0,11.0,3434.57,302.0,8.0,3746.42,302.0
100394394,201,Junior Varsity 9-10th Grade Male,9.0,46,,1,-1.0,,201.0,,,,,,,,,,,,,,,
100394408,302,Novice 9th Grade Male,9.0,1,,1619,2.0,3262.71,302.0,2.0,2521.98,302.0,1.0,3494.66,302.0,2.0,2986.8,302.0,2.0,2804.9,302.0,1.0,2739.13,302.0
100394428,201,Junior Varsity 9-10th Grade Male,9.0,26,,1370,21.0,3596.41,201.0,29.0,3481.11,201.0,,,,39.0,4476.88,201.0,18.0,3580.51,201.0,18.0,3739.51,201.0
100394436,301,Novice 10-12th Grade Male,10.0,35,,246,,,,,,,,,,,,,,,,19.0,3232.79,301.0
100394447,201,Junior Varsity 9-10th Grade Male,10.0,8,,1706,12.0,3426.19,201.0,9.0,3107.25,201.0,7.0,3631.5,201.0,8.0,3397.53,201.0,7.0,3301.67,201.0,8.0,3495.24,201.0
100394448,101,Varsity Male,10.0,7,,2066,10.0,4662.81,101.0,9.0,4338.3,101.0,7.0,4963.73,101.0,31.0,5307.46,101.0,5.0,4517.26,101.0,8.0,4932.08,101.0
100394449,201,Junior Varsity 9-10th Grade Male,10.0,29,,1328,34.0,3952.23,201.0,31.0,3517.28,201.0,32.0,4744.51,201.0,27.0,3717.51,201.0,28.0,3954.61,201.0,21.0,3828.98,201.0
100394455,201,Junior Varsity 9-10th Grade Male,10.0,6,,1763,4.0,3178.65,201.0,5.0,2978.79,201.0,4.0,3455.69,201.0,16.0,3539.22,201.0,5.0,3182.7,201.0,,,
100394458,201,Junior Varsity 9-10th Grade Male,10.0,39,,952,37.0,4478.26,201.0,,,,,,,40.0,4591.03,201.0,36.0,4770.98,201.0,35.0,4719.31,201.0
100394463,301,Novice 10-12th Grade Male,10.0,12,,1305,8.0,3341.63,301.0,15.0,2672.29,301.0,13.0,3742.31,301.0,17.0,3150.32,301.0,14.0,3053.85,301.0,15.0,2955.4,301.0
100394465,201,Junior Varsity 9-10th Grade Male,10.0,5,,1775,7.0,3253.35,201.0,8.0,3031.15,201.0,6.0,3552.09,201.0,7.0,3349.02,201.0,4.0,3155.74,201.0,5.0,3337.97,201.0
100394467,201,Junior Varsity 9-10th Grade Male,10.0,40,,892,11.0,3373.66,201.0,30.0,3500.35,201.0,,,,,,,13.0,3416.68,201.0,-1.0,2098.44,201.0
100394471,301,Novice 10-12th Grade Male,10.0,15,,1238,20.0,3862.74,301.0,18.0,2795.5,301.0,16.0,3981.48,301.0,19.0,3330.21,301.0,22.0,3341.13,301.0,18.0,3160.9,301.0
100394472,301,Novice 10-12th Grade Male,10.0,34,,256,14.0,3479.26,301.0,,,,,,,,,,,,,,,
